date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
12/09/2022,300.72,305.49,300.4,304.42,48674602,304.42,1.58,57753892.2
13/09/2022,292.9,297.3999,290.4,292.13,68229617,292.13,-4.04,56697414.55
14/09/2022,292.24,306,291.64,302.61,72628648,302.61,3.59,55922031.9
15/09/2022,301.825,309.12,300.7247,303.75,64795520,303.75,0.38,55723509.5
16/09/2022,299.605,303.71,295.6005,303.35,87087789,303.35,-0.13,57702872.5
19/09/2022,300.09,309.84,297.8,309.07,60231160,309.07,1.89,57644660.95
20/09/2022,306.91,313.33,305.58,308.73,61642781,308.73,-0.11,57934632.75
21/09/2022,308.29,313.8,300.63,300.8,62555660,300.8,-2.57,57863163.35
22/09/2022,299.86,301.29,285.82,288.59,70545406,288.59,-4.06,58527448.25
23/09/2022,283.09,284.5,272.82,275.33,63748359,275.33,-4.59,59053365.8
26/09/2022,271.83,284.09,270.31,276.01,58076910,276.01,0.25,59099013.65
27/09/2022,283.84,288.67,277.51,282.94,61925191,282.94,2.51,60102036.3
28/09/2022,283.08,289,277.57,287.81,54664809,287.81,1.72,60308188.65
29/09/2022,282.76,283.65,265.78,268.21,77620641,268.21,-6.81,61583853.7
30/09/2022,266.145,275.57,262.47,265.25,67726602,265.25,-1.1,62255832.8
03/10/2022,254.5,255.16,241.01,242.4,98363539,242.4,-8.61,64629505.25
04/10/2022,250.52,257.5,242.01,249.44,109578492,249.44,2.9,67315430.85
05/10/2022,245.01,246.6697,233.27,240.81,86982672,240.81,-3.46,69163118.35
06/10/2022,239.44,244.58,235.35,238.13,69298438,238.13,-1.11,69942384.2
07/10/2022,233.935,234.5715,222.02,223.07,83916797,223.07,-6.32,71414681.65
10/10/2022,223.93,226.99,218.3582,222.96,67925023,222.96,-0.05,72377202.7
11/10/2022,220.945,225.75,215,216.5,77013203,216.5,-2.9,72816382
12/10/2022,215.33,219.2999,211.51,217.24,66860703,217.24,0.34,72527984.75
13/10/2022,208.3,222.99,206.22,221.72,91483047,221.72,2.06,73862361.1
14/10/2022,224.01,226.26,204.16,204.99,94124516,204.99,-7.55,74214197.45
17/10/2022,210.04,221.86,209.45,219.35,79428805,219.35,7.01,75174079.7
18/10/2022,229.5,229.82,217.25,220.19,75891914,220.19,0.38,75886536.35
19/10/2022,219.8,222.93,217.78,222.04,66571477,222.04,0.84,76087327.2
20/10/2022,208.28,215.55,202,207.28,117798094,207.28,-6.65,78449961.6
21/10/2022,206.415,214.66,203.8,214.44,75713750,214.44,3.45,79048231.15
24/10/2022,205.82,213.5,198.5863,211.25,100446797,211.25,-1.49,81166725.5
25/10/2022,210.1,224.3498,210,222.415,96507875,222.415,5.29,82895859.7
26/10/2022,219.4,230.6,218.2,224.64,85327078,224.64,1,84428973.15
27/10/2022,229.77,233.81,222.85,225.09,61638820,225.09,0.2,83629882.1
28/10/2022,225.4,228.86,216.35,228.52,69152391,228.52,1.52,83701171.55
31/10/2022,226.19,229.85,221.94,227.54,61554340,227.54,-0.43,81860711.6
01/11/2022,234.05,237.3951,227.28,227.82,62688820,227.82,0.12,79516228
02/11/2022,226.04,227.8699,214.82,214.98,63070289,214.98,-5.64,78320608.85
03/11/2022,211.36,221.2,210.14,215.31,56538848,215.31,0.15,77682629.35
04/11/2022,222.6,223.8,203.08,207.47,98622211,207.47,-3.64,78417900.05
07/11/2022,208.65,208.9,196.66,197.08,93916523,197.08,-5.01,79717475.05
08/11/2022,194.02,195.2,186.75,191.3,128803398,191.3,-2.93,82306984.8
09/11/2022,190.775,195.89,177.12,177.59,127062703,177.59,-7.17,85317084.8
10/11/2022,189.9,191,180.03,190.72,132703000,190.72,7.39,87378082.45
11/11/2022,186,196.52,182.59,195.97,114403602,195.97,2.75,88392036.75
14/11/2022,192.77,195.73,186.34,190.95,92226648,190.95,-2.56,89031928.9
15/11/2022,195.88,200.8237,192.06,194.42,91293789,194.42,1.82,89802022.65
16/11/2022,191.51,192.57,185.66,186.92,66567602,186.92,-3.86,89801828.9
17/11/2022,183.96,186.16,180.9,183.17,64335969,183.17,-2.01,87128722.65
18/11/2022,185.05,185.19,176.55,180.19,76048875,180.19,-1.63,87145478.9
21/11/2022,175.85,176.77,167.54,167.87,92882711,167.87,-6.84,86767274.6
22/11/2022,168.63,170.92,166.185,169.91,78452328,169.91,1.22,85864497.25
23/11/2022,173.57,183.62,172.5,183.2,109536703,183.2,7.82,87074978.5
25/11/2022,185.06,185.2,180.63,182.86,50672738,182.86,-0.19,86526674.4
28/11/2022,179.96,188.5,179,182.92,93038148,182.92,0.03,87720962.25
29/11/2022,184.99,186.38,178.75,180.83,83357109,180.83,-1.14,88811100.7
30/11/2022,182.43,194.76,180.6301,194.7,109186398,194.7,7.67,91135979.6
01/12/2022,197.08,198.92,191.8,194.7,80046211,194.7,0,91984775.7
02/12/2022,191.78,196.25,191.11,194.86,73645922,194.86,0.08,92840129.4
05/12/2022,189.44,191.27,180.55,182.45,93122672,182.45,-6.37,92565152.45
06/12/2022,181.215,183.65,175.33,179.82,92150812,179.82,-1.44,92476866.9
07/12/2022,175.03,179.38,172.218,174.04,84213281,174.04,-3.21,90247361.05
08/12/2022,172.2,175.2,169.06,173.44,97624484,173.44,-0.34,88775450.1
09/12/2022,173.84,182.5,173.36,179.05,104872305,179.05,3.23,87383915.35
12/12/2022,176.1,177.37,167.52,167.82,109794492,167.82,-6.27,87153459.85
13/12/2022,174.87,175.05,156.91,160.95,175862703,160.95,-4.09,91335262.6
14/12/2022,159.25,161.62,155.31,156.8,140682297,156.8,-2.58,93804688
15/12/2022,153.44,160.9299,153.28,157.67,122334492,157.67,0.55,96593032.5
16/12/2022,159.635,160.99,150.04,150.23,139032188,150.23,-4.72,100327843.5
19/12/2022,154,155.25,145.82,149.87,139390594,149.87,-0.24,103494929.4
20/12/2022,146.05,148.47,137.66,137.8,159563297,137.8,-8.05,106828958.7
21/12/2022,139.335,141.26,135.89,137.57,145417406,137.57,-0.17,110177212.6
22/12/2022,136,136.63,122.26,125.35,210090297,125.35,-8.88,115204892.3
23/12/2022,126.37,128.6173,121.02,123.15,166989703,123.15,-1.76,121020740.6
27/12/2022,117.495,119.67,108.76,109.1,208643391,109.1,-11.41,126801002.7
28/12/2022,110.35,116.27,108.24,112.71,221070500,112.71,3.31,133686672.3
29/12/2022,120.385,123.57,117.495,121.82,221923297,121.82,8.08,139323517.2
30/12/2022,119.95,124.48,119.75,123.18,157777297,123.18,1.12,143210071.5
03/01/2023,118.47,118.8,104.64,108.1,231402797,108.1,-12.24,151097915.3
04/01/2023,109.11,114.59,107.52,113.64,180388984,113.64,5.12,155461230.9
05/01/2023,110.51,111.75,107.1601,110.34,157986297,110.34,-2.9,158753005.1
06/01/2023,103,114.39,101.81,113.06,220911109,113.06,2.47,165587896.5
09/01/2023,118.96,123.52,117.11,119.77,190284000,119.77,5.93,170220872.3
10/01/2023,121.07,122.76,114.92,118.85,167642500,118.85,-0.77,173359382.1
11/01/2023,122.09,125.95,120.51,123.22,183810797,123.22,3.68,177060197.3
12/01/2023,122.56,124.1311,117,123.56,169400891,123.56,0.28,176737106.7
13/01/2023,116.55,122.63,115.6,122.4,180714094,122.4,-0.94,178738696.6
17/01/2023,125.695,131.7,125.02,131.49,186476984,131.49,7.43,181945821.2
18/01/2023,136.555,136.68,127.01,128.78,195680297,128.78,-2.06,184778226.6
19/01/2023,127.26,129.99,124.3082,127.17,170291906,127.17,-1.25,186323292.2
20/01/2023,128.68,133.51,127.3466,133.42,138858094,133.42,4.91,185288032.1
23/01/2023,135.87,145.3793,134.27,143.75,203119203,143.75,7.74,188173121.9
24/01/2023,143,146.5,141.1,143.89,158699109,143.89,0.1,185603562.5
25/01/2023,141.905,146.41,138.07,144.43,192734297,144.43,0.38,186890792.2
26/01/2023,159.965,161.42,154.76,160.27,234815109,160.27,10.97,188199378.1
27/01/2023,162.43,180.68,161.17,177.9,306590594,177.9,11,192475382.8
30/01/2023,178.05,179.77,166.5,166.66,230878797,166.66,-6.32,192923157.8
31/01/2023,164.57,174.3,162.78,173.22,196813500,173.22,3.94,194874968
01/02/2023,173.89,183.805,169.93,181.41,213806297,181.41,4.73,193995143
02/02/2023,187.325,196.7501,182.61,188.27,217448297,188.27,3.78,195848108.6
03/02/2023,183.95,199,183.69,189.98,232662000,189.98,0.91,199581893.8
06/02/2023,193.01,198.17,189.92,194.76,186188094,194.76,2.52,197845743
07/02/2023,196.43,197.5,189.55,196.81,186010297,196.81,1.05,197632057.9
08/02/2023,196.1,203,194.31,201.29,180673594,201.29,2.28,198283612.6
09/02/2023,207.775,214,204.77,207.32,215431391,207.32,3,199864642.3
10/02/2023,202.225,206.2,192.89,196.89,204754094,196.89,-5.03,201632302.4
13/02/2023,194.415,196.3,187.61,194.64,172475500,194.64,-1.14,201220372.7
14/02/2023,191.94,209.82,189.44,209.25,216455703,209.25,7.51,202719308.7
15/02/2023,211.755,214.66,206.11,214.24,182108609,214.24,2.38,202040724.3
16/02/2023,210.78,217.65,201.84,202.04,229586500,202.04,-5.69,205005454
17/02/2023,199.985,208.44,197.5,208.31,213738500,208.31,3.1,208749474.3
21/02/2023,204.99,209.71,197.22,197.37,180018594,197.37,-5.25,207594443.8
22/02/2023,197.93,201.99,191.78,200.86,191828500,200.86,1.77,209250913.4
23/02/2023,203.91,205.14,196.33,202.07,146360000,202.07,0.6,206932198.5
24/02/2023,196.325,197.6695,192.8,196.88,142228094,196.88,-2.57,202302847.8
27/02/2023,202.03,209.42,201.26,207.63,161028297,207.63,5.46,195024732.9
28/02/2023,210.59,211.23,203.75,205.71,153144891,205.71,-0.92,191138037.6
01/03/2023,206.21,207.2,198.52,202.77,156852797,202.77,-1.43,189140002.5
